version,batch,operation,query,sample,milliseconds,count
baseline,0,verb-view-results,   ,6,5.70825,620
baseline,0,verb-view-results,   ,7,5.145791,620
baseline,0,verb-view-results,   ,8,5.343792,620
baseline,0,verb-view-results,   ,9,6.828625,620
baseline,0,verb-view-results,   ,10,5.72225,620
baseline,0,verb-view-results,   ,11,5.086,620
baseline,0,verb-view-results,   ,12,5.769375,620
baseline,0,verb-view-results,   ,13,5.038333,620
baseline,0,verb-view-results,   ,14,5.038417,620
baseline,0,verb-view-results,   ,15,5.788875,620
baseline,0,verb-view-results,   ,16,5.261,620
baseline,0,verb-view-results,   ,17,5.120917,620
baseline,0,verb-view-results,   ,18,6.020291,620
baseline,0,verb-view-results,   ,19,5.099459,620
after,0,all-view-results,   ,0,1.427792,1228
after,0,all-view-results,   ,1,1.446625,1228
after,0,all-view-results,   ,2,1.480458,1228
after,0,all-view-results,   ,3,1.642541,1228
after,0,all-view-results,   ,4,1.560125,1228
after,0,all-view-results,   ,5,1.448625,1228
after,0,all-view-results,   ,6,1.467083,1228
after,0,all-view-results,   ,7,1.5,1228
after,0,all-view-results,   ,8,1.488416,1228
after,0,all-view-results,   ,9,1.46675,1228
after,0,all-view-results,   ,10,1.471667,1228
after,0,all-view-results,   ,11,1.470542,1228
after,0,all-view-results,   ,12,1.473291,1228
after,0,all-view-results,   ,13,1.480791,1228
after,0,all-view-results,   ,14,1.815209,1228
after,0,all-view-results,   ,15,1.672334,1228
after,0,all-view-results,   ,16,1.47225,1228
after,0,all-view-results,   ,17,1.489792,1228
after,0,all-view-results,   ,18,1.483042,1228
after,0,all-view-results,   ,19,1.450333,1228
after,0,verb-view-results,   ,0,2.997084,620
after,0,verb-view-results,   ,1,3.219709,620
after,0,verb-view-results,   ,2,3.098916,620
after,0,verb-view-results,   ,3,3.233291,620
after,0,verb-view-results,   ,4,3.015334,620
after,0,verb-view-results,   ,5,3.26525,620
after,0,verb-view-results,   ,6,3.350875,620
after,0,verb-view-results,   ,7,3.113417,620
after,0,verb-view-results,   ,8,3.128209,620
after,0,verb-view-results,   ,9,3.360334,620
after,0,verb-view-results,   ,10,3.2345,620
after,0,verb-view-results,   ,11,3.11075,620
after,0,verb-view-results,   ,12,2.597916,620
after,0,verb-view-results,   ,13,2.508875,620
after,0,verb-view-results,   ,14,2.929,620
after,0,verb-view-results,   ,15,3.327375,620
after,0,verb-view-results,   ,16,3.1265,620
after,0,verb-view-results,   ,17,3.325834,620
after,0,verb-view-results,   ,18,2.733417,620
after,0,verb-view-results,   ,19,2.518916,620
baseline,0,all-view-results,l,0,18.555417,858
baseline,0,all-view-results,l,1,21.389209,858
baseline,0,all-view-results,l,2,16.179875,858
baseline,0,all-view-results,l,3,18.202083,858
baseline,0,all-view-results,l,4,17.291833,858
baseline,0,all-view-results,l,5,15.582667,858
baseline,0,all-view-results,l,6,16.897125,858
baseline,0,all-view-results,l,7,18.20025,858
baseline,0,all-view-results,l,8,18.443042,858
baseline,0,all-view-results,l,9,18.545,858
baseline,0,all-view-results,l,10,19.104416,858
baseline,0,all-view-results,l,11,18.295667,858
baseline,0,all-view-results,l,12,18.760792,858
baseline,0,all-view-results,l,13,18.685708,858
baseline,0,all-view-results,l,14,18.620333,858
baseline,0,all-view-results,l,15,19.044833,858
baseline,0,all-view-results,l,16,19.056541,858
baseline,0,all-view-results,l,17,18.799834,858
baseline,0,all-view-results,l,18,18.690209,858
baseline,0,all-view-results,l,19,18.92825,858
baseline,0,verb-view-results,l,0,15.359666,500
baseline,0,verb-view-results,l,1,13.726208,500
baseline,0,verb-view-results,l,2,13.538375,500
baseline,0,verb-view-results,l,3,15.463958,500
baseline,0,verb-view-results,l,4,14.423667,500
baseline,0,verb-view-results,l,5,13.160666,500
baseline,0,verb-view-results,l,6,15.466292,500
baseline,0,verb-view-results,l,7,14.608584,500
baseline,0,verb-view-results,l,8,14.767792,500
baseline,0,verb-view-results,l,9,14.400416,500
baseline,0,verb-view-results,l,10,13.552584,500
baseline,0,verb-view-results,l,11,14.669291,500
baseline,0,verb-view-results,l,12,14.263125,500
baseline,0,verb-view-results,l,13,14.310583,500
baseline,0,verb-view-results,l,14,13.593917,500
baseline,0,verb-view-results,l,15,14.305416,500
baseline,0,verb-view-results,l,16,14.641375,500
baseline,0,verb-view-results,l,17,14.723208,500
baseline,0,verb-view-results,l,18,15.286167,500
baseline,0,verb-view-results,l,19,14.875709,500
after,0,all-view-results,l,0,6.025958,858
after,0,all-view-results,l,1,6.438708,858
after,0,all-view-results,l,2,6.053375,858
after,0,all-view-results,l,3,6.514167,858
after,0,all-view-results,l,4,6.119125,858
after,0,all-view-results,l,5,6.245209,858
after,0,all-view-results,l,6,6.616458,858
after,0,all-view-results,l,7,6.210875,858
after,0,all-view-results,l,8,6.296791,858
after,0,all-view-results,l,9,6.54975,858
after,0,all-view-results,l,10,6.183958,858
after,0,all-view-results,l,11,6.309375,858
after,0,all-view-results,l,12,6.034917,858
after,0,all-view-results,l,13,6.353333,858
after,0,all-view-results,l,14,5.742042,858
after,0,all-view-results,l,15,6.271167,858
after,0,all-view-results,l,16,5.851541,858
after,0,all-view-results,l,17,5.973,858
after,0,all-view-results,l,18,6.029167,858
after,0,all-view-results,l,19,5.530209,858
after,0,verb-view-results,l,0,7.407834,500
after,0,verb-view-results,l,1,7.6485,500
after,0,verb-view-results,l,2,7.177375,500
after,0,verb-view-results,l,3,7.391417,500
after,0,verb-view-results,l,4,7.219584,500
after,0,verb-view-results,l,5,7.669958,500
after,0,verb-view-results,l,6,6.100583,500
after,0,verb-view-results,l,7,6.166584,500
after,0,verb-view-results,l,8,6.160708,500
after,0,verb-view-results,l,9,6.105708,500
after,0,verb-view-results,l,10,6.575458,500
after,0,verb-view-results,l,11,6.080583,500
after,0,verb-view-results,l,12,6.084583,500
after,0,verb-view-results,l,13,6.789541,500
after,0,verb-view-results,l,14,6.052292,500
after,0,verb-view-results,l,15,6.197833,500
after,0,verb-view-results,l,16,6.315625,500
after,0,verb-view-results,l,17,6.100208,500
after,0,verb-view-results,l,18,6.65625,500
after,0,verb-view-results,l,19,6.219416,500
baseline,0,all-view-results,look,0,28.337084,40
baseline,0,all-view-results,look,1,26.14125,40
baseline,0,all-view-results,look,2,25.7615,40
baseline,0,all-view-results,look,3,25.591167,40
baseline,0,all-view-results,look,4,25.244875,40
baseline,0,all-view-results,look,5,26.055041,40
baseline,0,all-view-results,look,6,28.256125,40
baseline,0,all-view-results,look,7,26.063541,40
baseline,0,all-view-results,look,8,26.702292,40
baseline,0,all-view-results,look,9,26.679291,40
baseline,0,all-view-results,look,10,26.696292,40
baseline,0,all-view-results,look,11,24.6855,40
baseline,0,all-view-results,look,12,25.852708,40
baseline,0,all-view-results,look,13,26.429333,40
baseline,0,all-view-results,look,14,27.82075,40
baseline,0,all-view-results,look,15,27.608666,40
baseline,0,all-view-results,look,16,27.327333,40
baseline,0,all-view-results,look,17,28.527792,40
baseline,0,all-view-results,look,18,27.179666,40
baseline,0,all-view-results,look,19,27.418167,40
baseline,0,verb-view-results,look,0,27.857542,10
baseline,0,verb-view-results,look,1,27.602,10
baseline,0,verb-view-results,look,2,30.6915,10
baseline,0,verb-view-results,look,3,32.068042,10
baseline,0,verb-view-results,look,4,29.557416,10
baseline,0,verb-view-results,look,5,29.767541,10
baseline,0,verb-view-results,look,6,28.245916,10
baseline,0,verb-view-results,look,7,28.18975,10
baseline,0,verb-view-results,look,8,29.288834,10
baseline,0,verb-view-results,look,9,27.615042,10
baseline,0,verb-view-results,look,10,27.681958,10
baseline,0,verb-view-results,look,11,30.307209,10
baseline,0,verb-view-results,look,12,28.99125,10
baseline,0,verb-view-results,look,13,31.6545,10
baseline,0,verb-view-results,look,14,28.802584,10
baseline,0,verb-view-results,look,15,31.703,10
baseline,0,verb-view-results,look,16,30.176208,10
baseline,0,verb-view-results,look,17,29.099292,10
baseline,0,verb-view-results,look,18,28.646917,10
baseline,0,verb-view-results,look,19,30.05,10
after,0,all-view-results,look,0,8.998708,40
after,0,all-view-results,look,1,9.511,40
after,0,all-view-results,look,2,8.857625,40
after,0,all-view-results,look,3,7.917584,40
after,0,all-view-results,look,4,8.923084,40
after,0,all-view-results,look,5,8.53825,40
after,0,all-view-results,look,6,8.4465,40
after,0,all-view-results,look,7,8.648417,40
after,0,all-view-results,look,8,8.7785,40
after,0,all-view-results,look,9,8.946333,40
after,0,all-view-results,look,10,7.978625,40
after,0,all-view-results,look,11,9.838083,40
after,0,all-view-results,look,12,9.075791,40
after,0,all-view-results,look,13,9.32925,40
after,0,all-view-results,look,14,8.041125,40
after,0,all-view-results,look,15,9.132666,40
after,0,all-view-results,look,16,8.461166,40
after,0,all-view-results,look,17,9.155959,40
after,0,all-view-results,look,18,8.092167,40
after,0,all-view-results,look,19,9.275042,40
after,0,verb-view-results,look,0,8.967959,10
after,0,verb-view-results,look,1,9.87725,10
after,0,verb-view-results,look,2,9.13275,10
after,0,verb-view-results,look,3,9.3575,10
after,0,verb-view-results,look,4,8.787125,10
after,0,verb-view-results,look,5,9.903834,10
after,0,verb-view-results,look,6,8.929917,10
after,0,verb-view-results,look,7,8.911125,10
after,0,verb-view-results,look,8,9.668542,10
after,0,verb-view-results,look,9,9.339209,10
after,0,verb-view-results,look,10,9.403792,10
after,0,verb-view-results,look,11,8.430292,10
after,0,verb-view-results,look,12,10.376417,10
after,0,verb-view-results,look,13,8.8625,10
after,0,verb-view-results,look,14,9.36975,10
after,0,verb-view-results,look,15,9.980708,10
after,0,verb-view-results,look,16,9.393542,10
after,0,verb-view-results,look,17,9.934708,10
after,0,verb-view-results,look,18,10.018333,10
after,0,verb-view-results,look,19,9.226708,10
baseline,0,all-view-results,look into,0,24.975875,2
baseline,0,all-view-results,look into,1,24.388,2
baseline,0,all-view-results,look into,2,24.602083,2
baseline,0,all-view-results,look into,3,24.236375,2
baseline,0,all-view-results,look into,4,24.221,2
baseline,0,all-view-results,look into,5,24.848542,2
baseline,0,all-view-results,look into,6,24.42775,2
baseline,0,all-view-results,look into,7,26.879458,2
baseline,0,all-view-results,look into,8,29.421333,2
baseline,0,all-view-results,look into,9,28.833625,2
baseline,0,all-view-results,look into,10,28.658875,2
baseline,0,all-view-results,look into,11,26.333292,2
baseline,0,all-view-results,look into,12,26.691083,2
baseline,0,all-view-results,look into,13,27.8415,2
baseline,0,all-view-results,look into,14,26.288625,2
baseline,0,all-view-results,look into,15,26.817917,2
baseline,0,all-view-results,look into,16,27.153458,2
baseline,0,all-view-results,look into,17,26.915333,2
baseline,0,all-view-results,look into,18,25.6625,2
baseline,0,all-view-results,look into,19,27.537709,2
baseline,0,verb-view-results,look into,0,30.612667,2
baseline,0,verb-view-results,look into,1,29.320959,2
baseline,0,verb-view-results,look into,2,31.197042,2
baseline,0,verb-view-results,look into,3,31.206375,2
baseline,0,verb-view-results,look into,4,31.687625,2
baseline,0,verb-view-results,look into,5,30.926,2
baseline,0,verb-view-results,look into,6,27.409166,2
baseline,0,verb-view-results,look into,7,26.987791,2
baseline,0,verb-view-results,look into,8,26.370833,2
baseline,0,verb-view-results,look into,9,26.63375,2
baseline,0,verb-view-results,look into,10,26.492625,2
baseline,0,verb-view-results,look into,11,26.493625,2
baseline,0,verb-view-results,look into,12,26.945167,2
baseline,0,verb-view-results,look into,13,26.680959,2
baseline,0,verb-view-results,look into,14,27.326584,2
baseline,0,verb-view-results,look into,15,31.402541,2
baseline,0,verb-view-results,look into,16,31.196541,2
baseline,0,verb-view-results,look into,17,31.239875,2
baseline,0,verb-view-results,look into,18,37.749333,2
baseline,0,verb-view-results,look into,19,32.978667,2
after,0,all-view-results,look into,0,9.06875,2
after,0,all-view-results,look into,1,9.745375,2
after,0,all-view-results,look into,2,9.0995,2
after,0,all-view-results,look into,3,9.534333,2
after,0,all-view-results,look into,4,9.7265,2
after,0,all-view-results,look into,5,9.73875,2
after,0,all-view-results,look into,6,8.920709,2
after,0,all-view-results,look into,7,8.7405,2
after,0,all-view-results,look into,8,8.173625,2
after,0,all-view-results,look into,9,9.246667,2
after,0,all-view-results,look into,10,7.9435,2
after,0,all-view-results,look into,11,8.996875,2
after,0,all-view-results,look into,12,7.888541,2
after,0,all-view-results,look into,13,9.162959,2
after,0,all-view-results,look into,14,9.430542,2
after,0,all-view-results,look into,15,8.651541,2
after,0,all-view-results,look into,16,8.40375,2
after,0,all-view-results,look into,17,8.82475,2
after,0,all-view-results,look into,18,9.053583,2
after,0,all-view-results,look into,19,8.438792,2
after,0,verb-view-results,look into,0,9.978208,2
after,0,verb-view-results,look into,1,10.291417,2
after,0,verb-view-results,look into,2,10.486792,2
after,0,verb-view-results,look into,3,10.3675,2
after,0,verb-view-results,look into,4,10.704542,2
after,0,verb-view-results,look into,5,10.620625,2
after,0,verb-view-results,look into,6,10.099833,2
after,0,verb-view-results,look into,7,10.490292,2
after,0,verb-view-results,look into,8,10.533166,2
after,0,verb-view-results,look into,9,10.461333,2
after,0,verb-view-results,look into,10,10.416584,2
after,0,verb-view-results,look into,11,10.417708,2
after,0,verb-view-results,look into,12,10.417542,2
after,0,verb-view-results,look into,13,10.216125,2
after,0,verb-view-results,look into,14,10.387291,2
after,0,verb-view-results,look into,15,10.668333,2
after,0,verb-view-results,look into,16,10.343708,2
after,0,verb-view-results,look into,17,10.902375,2
after,0,verb-view-results,look into,18,11.675708,2
after,0,verb-view-results,look into,19,10.620458,2
baseline,0,all-view-results,調べ,0,42.4595,10
baseline,0,all-view-results,調べ,1,42.011709,10
baseline,0,all-view-results,調べ,2,39.759,10
baseline,0,all-view-results,調べ,3,36.126417,10
baseline,0,all-view-results,調べ,4,38.182875,10
baseline,0,all-view-results,調べ,5,42.063208,10
baseline,0,all-view-results,調べ,6,41.609875,10
baseline,0,all-view-results,調べ,7,40.581666,10
baseline,0,all-view-results,調べ,8,39.452791,10
baseline,0,all-view-results,調べ,9,39.483667,10
baseline,0,all-view-results,調べ,10,40.116208,10
baseline,0,all-view-results,調べ,11,40.500167,10
baseline,0,all-view-results,調べ,12,39.794708,10
baseline,0,all-view-results,調べ,13,41.25675,10
baseline,0,all-view-results,調べ,14,61.352209,10
baseline,0,all-view-results,調べ,15,105.940333,10
baseline,0,all-view-results,調べ,16,95.842959,10
baseline,0,all-view-results,調べ,17,243.528667,10
baseline,0,all-view-results,調べ,18,255.526791,10
baseline,0,all-view-results,調べ,19,103.2845,10
baseline,0,verb-view-results,調べ,0,46.051292,6
baseline,0,verb-view-results,調べ,1,56.416833,6
baseline,0,verb-view-results,調べ,2,69.976417,6
baseline,0,verb-view-results,調べ,3,56.5575,6
baseline,0,verb-view-results,調べ,4,47.713583,6
baseline,0,verb-view-results,調べ,5,96.092542,6
baseline,0,verb-view-results,調べ,6,68.878292,6
baseline,0,verb-view-results,調べ,7,70.266291,6
baseline,0,verb-view-results,調べ,8,53.102917,6
baseline,0,verb-view-results,調べ,9,73.823666,6
baseline,0,verb-view-results,調べ,10,83.7075,6
baseline,0,verb-view-results,調べ,11,87.868,6
baseline,0,verb-view-results,調べ,12,77.850083,6
baseline,0,verb-view-results,調べ,13,56.008542,6
baseline,0,verb-view-results,調べ,14,130.3715,6
baseline,0,verb-view-results,調べ,15,89.603125,6
baseline,0,verb-view-results,調べ,16,119.649,6
baseline,0,verb-view-results,調べ,17,72.367708,6
baseline,0,verb-view-results,調べ,18,88.892167,6
baseline,0,verb-view-results,調べ,19,61.464792,6
after,0,all-view-results,調べ,0,28.01175,10
after,0,all-view-results,調べ,1,19.977583,10
after,0,all-view-results,調べ,2,22.26075,10
after,0,all-view-results,調べ,3,15.471792,10
after,0,all-view-results,調べ,4,15.230667,10
after,0,all-view-results,調べ,5,33.088584,10
after,0,all-view-results,調べ,6,45.90425,10
after,0,all-view-results,調べ,7,36.219416,10
after,0,all-view-results,調べ,8,33.417958,10
after,0,all-view-results,調べ,9,30.246458,10
after,0,all-view-results,調べ,10,15.223125,10
after,0,all-view-results,調べ,11,39.372958,10
after,0,all-view-results,調べ,12,15.828,10
after,0,all-view-results,調べ,13,30.243125,10
after,0,all-view-results,調べ,14,19.96025,10
after,0,all-view-results,調べ,15,15.276708,10
after,0,all-view-results,調べ,16,15.401917,10
after,0,all-view-results,調べ,17,20.118875,10
after,0,all-view-results,調べ,18,34.00175,10
after,0,all-view-results,調べ,19,13.59425,10
after,0,verb-view-results,調べ,0,48.387458,6
after,0,verb-view-results,調べ,1,42.326167,6
after,0,verb-view-results,調べ,2,38.465333,6
after,0,verb-view-results,調べ,3,52.555792,6
after,0,verb-view-results,調べ,4,48.831791,6
after,0,verb-view-results,調べ,5,31.426875,6
after,0,verb-view-results,調べ,6,33.713792,6
after,0,verb-view-results,調べ,7,32.044209,6
after,0,verb-view-results,調べ,8,34.574667,6
after,0,verb-view-results,調べ,9,31.151417,6
after,0,verb-view-results,調べ,10,30.894167,6
after,0,verb-view-results,調べ,11,24.218291,6
after,0,verb-view-results,調べ,12,82.923584,6
after,0,verb-view-results,調べ,13,34.014208,6
after,0,verb-view-results,調べ,14,33.692459,6
after,0,verb-view-results,調べ,15,30.224083,6
after,0,verb-view-results,調べ,16,32.420125,6
after,0,verb-view-results,調べ,17,31.579417,6
after,0,verb-view-results,調べ,18,37.823792,6
after,0,verb-view-results,調べ,19,51.930042,6
baseline,0,all-view-results,round,0,57.153792,52
baseline,0,all-view-results,round,1,48.118,52
baseline,0,all-view-results,round,2,53.250375,52
baseline,0,all-view-results,round,3,47.337291,52
baseline,0,all-view-results,round,4,51.4315,52
baseline,0,all-view-results,round,5,62.213584,52
baseline,0,all-view-results,round,6,51.522917,52
baseline,0,all-view-results,round,7,40.046583,52
baseline,0,all-view-results,round,8,42.1845,52
baseline,0,all-view-results,round,9,51.409375,52
baseline,0,all-view-results,round,10,79.408666,52
baseline,0,all-view-results,round,11,55.369292,52
baseline,0,all-view-results,round,12,67.823458,52
baseline,0,all-view-results,round,13,63.393459,52
baseline,0,all-view-results,round,14,62.82025,52
baseline,0,all-view-results,round,15,63.637208,52
baseline,0,all-view-results,round,16,58.643209,52
baseline,0,all-view-results,round,17,46.022208,52
baseline,0,all-view-results,round,18,65.421458,52
baseline,0,all-view-results,round,19,68.928166,52
baseline,0,verb-view-results,round,0,52.666084,46
baseline,0,verb-view-results,round,1,65.98275,46
baseline,0,verb-view-results,round,2,68.780084,46
baseline,0,verb-view-results,round,3,50.415333,46
baseline,0,verb-view-results,round,4,49.541125,46
baseline,0,verb-view-results,round,5,68.201375,46
baseline,0,verb-view-results,round,6,60.372625,46
baseline,0,verb-view-results,round,7,53.4065,46
baseline,0,verb-view-results,round,8,53.380833,46
baseline,0,verb-view-results,round,9,64.172875,46
baseline,0,verb-view-results,round,10,67.504667,46
baseline,0,verb-view-results,round,11,65.930167,46
baseline,0,verb-view-results,round,12,48.502291,46
baseline,0,verb-view-results,round,13,48.056167,46
baseline,0,verb-view-results,round,14,54.191792,46
baseline,0,verb-view-results,round,15,48.828042,46
baseline,0,verb-view-results,round,16,52.238042,46
baseline,0,verb-view-results,round,17,48.10225,46
baseline,0,verb-view-results,round,18,69.228792,46
baseline,0,verb-view-results,round,19,64.945875,46
after,0,all-view-results,round,0,13.838125,52
after,0,all-view-results,round,1,15.687542,52
after,0,all-view-results,round,2,14.733875,52
after,0,all-view-results,round,3,20.651333,52
after,0,all-view-results,round,4,16.695833,52
after,0,all-view-results,round,5,24.433875,52
after,0,all-view-results,round,6,8.560666,52
after,0,all-view-results,round,7,28.198584,52
after,0,all-view-results,round,8,17.6195,52
after,0,all-view-results,round,9,14.886167,52
after,0,all-view-results,round,10,21.914,52
after,0,all-view-results,round,11,13.295459,52
after,0,all-view-results,round,12,15.018834,52
after,0,all-view-results,round,13,40.533542,52
after,0,all-view-results,round,14,28.55325,52
after,0,all-view-results,round,15,15.685334,52
after,0,all-view-results,round,16,12.216291,52
after,0,all-view-results,round,17,8.332167,52
after,0,all-view-results,round,18,18.932333,52
after,0,all-view-results,round,19,29.4825,52
after,0,verb-view-results,round,0,14.928125,46
after,0,verb-view-results,round,1,21.79,46
after,0,verb-view-results,round,2,17.017917,46
after,0,verb-view-results,round,3,31.326584,46
after,0,verb-view-results,round,4,29.865959,46
after,0,verb-view-results,round,5,22.342834,46
after,0,verb-view-results,round,6,30.469292,46
after,0,verb-view-results,round,7,30.653666,46
after,0,verb-view-results,round,8,22.367292,46
after,0,verb-view-results,round,9,31.356166,46
after,0,verb-view-results,round,10,17.927333,46
after,0,verb-view-results,round,11,28.439541,46
after,0,verb-view-results,round,12,36.518667,46
after,0,verb-view-results,round,13,30.222333,46
after,0,verb-view-results,round,14,30.793041,46
after,0,verb-view-results,round,15,23.678292,46
after,0,verb-view-results,round,16,33.215834,46
after,0,verb-view-results,round,17,15.62,46
after,0,verb-view-results,round,18,33.040083,46
after,0,verb-view-results,round,19,49.761875,46
baseline,0,all-view-results,zzzz-no-match,0,59.771167,0
baseline,0,all-view-results,zzzz-no-match,1,33.52975,0
baseline,0,all-view-results,zzzz-no-match,2,33.560666,0
baseline,0,all-view-results,zzzz-no-match,3,18.456875,0
baseline,0,all-view-results,zzzz-no-match,4,15.772917,0
baseline,0,all-view-results,zzzz-no-match,5,25.078208,0
baseline,0,all-view-results,zzzz-no-match,6,12.381625,0
baseline,0,all-view-results,zzzz-no-match,7,29.433834,0
baseline,0,all-view-results,zzzz-no-match,8,24.122625,0
baseline,0,all-view-results,zzzz-no-match,9,14.476291,0
baseline,0,all-view-results,zzzz-no-match,10,29.459209,0
baseline,0,all-view-results,zzzz-no-match,11,22.903791,0
baseline,0,all-view-results,zzzz-no-match,12,11.297667,0
baseline,0,all-view-results,zzzz-no-match,13,30.073334,0
baseline,0,all-view-results,zzzz-no-match,14,21.201583,0
baseline,0,all-view-results,zzzz-no-match,15,15.530625,0
baseline,0,all-view-results,zzzz-no-match,16,30.233542,0
baseline,0,all-view-results,zzzz-no-match,17,20.867667,0
baseline,0,all-view-results,zzzz-no-match,18,28.247041,0
baseline,0,all-view-results,zzzz-no-match,19,22.902292,0
baseline,0,verb-view-results,zzzz-no-match,0,31.327167,0
baseline,0,verb-view-results,zzzz-no-match,1,68.596708,0
baseline,0,verb-view-results,zzzz-no-match,2,47.079125,0
baseline,0,verb-view-results,zzzz-no-match,3,32.318375,0
baseline,0,verb-view-results,zzzz-no-match,4,103.860209,0
baseline,0,verb-view-results,zzzz-no-match,5,18.398875,0
baseline,0,verb-view-results,zzzz-no-match,6,31.461292,0
baseline,0,verb-view-results,zzzz-no-match,7,34.942625,0
baseline,0,verb-view-results,zzzz-no-match,8,39.284375,0
baseline,0,verb-view-results,zzzz-no-match,9,27.442125,0
baseline,0,verb-view-results,zzzz-no-match,10,50.288208,0
baseline,0,verb-view-results,zzzz-no-match,11,30.1095,0
baseline,0,verb-view-results,zzzz-no-match,12,17.65575,0
baseline,0,verb-view-results,zzzz-no-match,13,32.492666,0
baseline,0,verb-view-results,zzzz-no-match,14,32.401834,0
