句動詞,意味（日本語）,意味（簡単な英英訳）,例文
come back,戻る,to return,When will you come back from your trip?
come by,手に入れる、立ち寄る,"to acquire, to visit casually",How did you come by such a rare coin?
come down,降りる、価格が下がる,"to descend, to decrease",House prices have come down recently.
come down with,（病気に）かかる,to become ill,I think I'm coming down with the flu.
come forward,名乗り出る,to offer information or help,The police asked witnesses to come forward.
come from,〜の出身である、〜に由来する,to originate in,Where do you come from?
come in,入る、到着する,"to enter, to arrive",Please come in and take a seat.
come into,（財産を）相続する,to inherit,She came into a lot of money when her aunt died.
come off,（汚れが）落ちる、成功する,"to become detached, to succeed",The paint is coming off the wall.
come on,さあ（励まし）、（機械が）作動し始める,"to encourage, to start functioning","Come on, you can do it!"
come out,現れる、出版される、公表される,"to appear, to be published",When does his new book come out?
come over,やって来る,to visit,Why don't you come over for dinner tonight?
come through,切り抜ける、要求に応える,to survive a difficult situation,"He was very sick, but he came through in the end."
come up,生じる、近づく,"to happen unexpectedly, to approach",Something urgent has come up.
come up with,思いつく,to think of an idea,She came up with a great plan.
count on,頼る、当てにする,to rely on,You can always count on me.
cover up,隠す、もみ消す,to conceal something bad,The government tried to cover up the scandal.
cross out,線を引いて消す,to draw a line through,Cross out the wrong words in the sentence.
cut back (on),削減する,to reduce,We need to cut back on our expenses.
cut down,切り倒す、減らす,"to fell, to reduce",They cut down the old tree in the park.
cut in,割り込む,to interrupt,Don't cut in while I'm talking.
cut off,切り離す、電話を切る,"to disconnect, sever",Our electricity was cut off because we didn't pay the bill.
cut out,切り取る、やめる,"to remove, to stop doing",I've decided to cut out sugar from my diet.
deal with,対処する、扱う,to handle a problem,We have a lot of issues to deal with today.
die down,（騒ぎなどが）静まる,to become less intense,Wait until the storm dies down before going out.
die out,絶滅する,to become extinct,Dinosaurs died out millions of years ago.
do away with,廃止する、処分する,"to abolish, to eliminate",The company decided to do away with the dress code.
do over,やり直す,to do again,This is completely wrong. You'll have to do it over.
do up,ボタンを留める、改装する,"to fasten, to renovate",Can you help me do up the zip on my dress?
do without,〜なしで済ませる,to manage without,"I don't have sugar, so we'll have to do without."
draw back,後退する、尻込みする,"to move away, to retreat",She drew back in fear.
draw up,（計画や書類を）作成する,to prepare a document,The lawyer will draw up the contract.
dress up,ドレスアップする、仮装する,"to wear formal clothes, to put on a costume",We need to dress up for the wedding.
drop by / in,ふらりと立ち寄る,to visit informally,Drop by anytime you're in the neighborhood.
drop off,降ろす、うとうとする,"to deliver, to fall asleep",Can you drop me off at the station?
drop out,中退する、脱落する,to quit a school or course,He dropped out of college after one year.
eat out,外食する,to eat at a restaurant,Let's eat out tonight instead of cooking.
eat up,残さず食べる,to eat completely,Eat up all your vegetables!
end up,最終的に〜になる,to finally be in a particular state,We got lost and ended up in a different city.
face up to,（困難に）立ち向かう、認める,to accept and deal with a difficult fact,You need to face up to your responsibilities.
fall apart,バラバラになる、崩壊する,"to break into pieces, to fail",Their marriage is falling apart.
fall behind,遅れをとる,to fail to keep up,"If you miss classes, you will fall behind."
fall down,倒れる、落ちる,to drop to the ground,The old building fell down during the earthquake.
fall for,だまされる、惚れる,"to be deceived by, to fall in love",I can't believe you fell for that trick!
fall in with,同意する、仲間入りする,"to agree with, to associate with",I fall in with your plan.
fall off,減少する、落ちる,"to decrease, to detach",Sales have fallen off recently.
fall out,喧嘩する、抜け落ちる,"to argue, to become loose and drop",He fell out with his best friend.
fall through,失敗に終わる、実現しない,to fail to happen,Our plans for the holiday fell through.
feel like,〜したい気がする,to have a desire to do something,I feel like eating pizza tonight.
figure out,理解する、解決する,"to understand, solve",I can't figure out how to use this machine.
fill in,空欄を埋める、代理をする,"to complete a form, to substitute",Please fill in your name and address.
fill out,（書類に）必要事項を記入する,to complete a form completely,You need to fill out this application.
fill up,満タンにする,to make full,Fill up the gas tank before we leave.
find out,見つけ出す、事実を知る,to discover information,I just found out that I got the job!
fit in,適合する、馴染む,"to belong, to be accepted",He didn't really fit in at his new school.
fix up,修理する、手配する,"to repair, to arrange",We bought an old house and fixed it up.
focus on,集中する,to concentrate on,You need to focus on your studies.
get about / around,あちこち移動する、広まる,"to travel, to circulate",News gets around quickly in this small town.
get across,（考えなどを）理解させる,to communicate successfully,"I tried to get my point across, but they didn't listen."
get ahead,出世する、成功する,"to succeed, to advance","If you want to get ahead in your career, you must work hard."
get along,仲良くやる、なんとかやっていく,to have a good relationship,I get along well with my neighbors.
get at,ほのめかす、達する,"to imply, to reach",What are you getting at?
get away,逃げる、離れる,"to escape, to go on a vacation",The thieves got away in a stolen car.
get back,戻る、取り戻す,"to return, to receive again",What time did you get back last night?
get back at,仕返しをする,to take revenge,She wanted to get back at him for lying.
get by,なんとかやりくりする,to manage to survive,"I don't have much money, but I can get by."
get down,降りる、落ち込ませる,"to descend, to depress",This rainy weather is getting me down.
get down to,本気で取り掛かる,to start focusing on,Let's get down to business.
get in,（車などに）乗る、到着する,"to enter a car, to arrive","Get in the car, we're late!"
get off,（バスなどから）降りる、仕事を終える,"to leave a vehicle, to finish work",I usually get off work at 6 PM.
get on,（バスなどに）乗る、うまくやる,"to enter a bus/train, to make progress",We got on the train just in time.
get out,外へ出る、逃げる,"to leave, to escape",Get out of my room!
get out of,（責任などを）逃れる,to avoid doing something,He always tries to get out of doing the dishes.
get over,回復する、乗り越える,"to recover, overcome",It took her a long time to get over the flu.
get round to,（時間ができて）ようやく〜に取り掛かる,to finally do something,I finally got round to cleaning the garage.
get through,切り抜ける、連絡がつく,"to survive, to contact by phone","I called you, but I couldn't get through."
get together,集まる,to meet,Let's get together for a drink this weekend.
get up,起き上がる,to rise from bed,What time do you usually get up?
give away,タダであげる、秘密を漏らす,"to donate, to reveal a secret",He gave away all his old books.
give back,返す,to return something,Give me back my pen!
give in,降参する、提出する,"to surrender, yield",The government refused to give in to their demands.
give off,（匂いや熱を）発する,to emit,The cheese is giving off a terrible smell.
give out,配る、尽きる,"to distribute, to become exhausted",The teacher gave out the test papers.
give up,諦める、やめる,to quit,Don't give up on your dreams.
go about,取り掛かる、いつも通りにする,"to deal with, to begin",How should I go about solving this problem?
go after,追いかける、追求する,to pursue,The police went after the bank robbers.
go against,逆らう、不利になる,"to oppose, to be unfavorable",It goes against my principles.
go ahead,先に進む、どうぞ（許可）,to proceed,Go ahead and start without me.
go along with,賛成する、同行する,"to agree with, to accompany",I go along with your idea.
go around,（病気などが）広まる、十分にある,"to circulate, to be sufficient",There is a nasty flu going around.
go away,立ち去る,to leave,Please go away and leave me alone.
go back,戻る,to return,I want to go back to Japan next year.
go back on,（約束などを）破る,to break a promise,He went back on his word.
go by,（時間が）経過する、通り過ぎる,to pass,"As time goes by, you will forget him."
go down,下がる、沈む,"to decrease, to sink",The sun went down behind the mountains.
go for,選ぶ、好む、襲いかかる,"to choose, to like, to attack",I think I'll go for the chocolate cake.
go in for,（趣味などを）好む、参加する,"to enter a competition, to have as a hobby",I don't go in for sports much.
go into,詳しく述べる、〜に入る,"to discuss in detail, to enter",I don't want to go into details right now.
go off,爆発する、（アラームが）鳴る、腐る,"to explode, to ring, to go bad",My alarm clock went off at 6 AM.
go on,続く、起こる,"to continue, to happen",The meeting went on for hours.
go out,外出する、火が消える,"to leave the house, to stop burning",We are going out for dinner tonight.
go over,見直す、調べる,"to review, to examine",Let's go over the plan one more time.
go through,経験する、調べる,"to experience, to examine",She went through a lot of pain.
go under,倒産する、沈む,"to go bankrupt, to sink",Many small businesses went under during the pandemic.
go up,上がる、建つ,"to increase, to be built",The price of gas has gone up again.
go with,似合う、調和する,to match,That shirt goes perfectly with those pants.
go without,〜なしで済ます,to manage without,We will have to go without internet for a few days.
grow apart,（関係が）疎遠になる,to stop being close to someone,"Over the years, the two friends grew apart."
grow back,再び生える,to grow again,"If you cut your hair, it will grow back."
grow into,成長して服が合うようになる,to grow large enough to fit,"The coat is big now, but he will grow into it."
grow out of,成長して服が着られなくなる、卒業する,to outgrow,He has grown out of all his shoes.
grow up,大人になる,to become an adult,What do you want to be when you grow up?
hand down,後世に伝える、言い渡す,to pass on to the next generation,This ring was handed down from my grandmother.
hand in,提出する,to submit,Hand in your homework by Friday.
hand out,配る,to distribute,Could you hand out these flyers?
hand over,引き渡す、譲り渡す,to give control or possession,The thief was forced to hand over the money.
hang around / about,ぶらぶらする,to spend time aimlessly,They were just hanging around the mall.
hang back,ためらう、後にとどまる,to hesitate,She hung back while the others rushed forward.
hang on,ちょっと待つ、しがみつく,"to wait, to hold tight","Hang on a second, I'll be right back."
hang out,遊ぶ、つるむ,to spend time relaxing,We usually hang out at the park on weekends.
hang up,電話を切る,to end a phone call,He was so angry he just hung up on me.
have on,着ている,to be wearing,She had a beautiful red dress on.
head for,〜に向かう,to move in the direction of,We are heading for the mountains this weekend.
hear from,〜から連絡をもらう,to receive a letter/call from,I haven't heard from him in months.
hear of,〜の噂を聞く,to know about the existence of,I've never heard of that band.
hit on,ふと思いつく、口説く,"to have a sudden idea, to flirt with",He hit on a brilliant solution to the problem.
hold back,抑える、ためらう,"to restrain, to hide",She couldn't hold back her tears.
hold down,（職を）維持する、抑えつける,"to keep a job, to restrain",It's hard for him to hold down a steady job.
hold off,遅らせる、延期する,to delay,Let's hold off making a decision until tomorrow.
hold on,待つ、持ちこたえる,"to wait, to grip tightly","Hold on, I'm transferring your call."
hold out,持ちこたえる、差し出す,"to last, to survive",I don't know how much longer our food supplies will hold out.
hold up,遅らせる、強盗に入る,"to delay, to rob",Traffic held us up for an hour.
iron out,（問題などを）解決する,to solve problems or clear up difficulties,We need to iron out a few problems before signing the contract.
keep at,〜を根気よく続ける,to continue doing something difficult,"Keep at it, you'll eventually succeed!"
keep away,近づけない、遠ざける,to stay away,Keep away from the edge of the cliff.
keep back,隠す、近づけない,"to withhold, to maintain a safe distance",The police kept the crowd back.
keep down,（音や声を）抑える,"to keep quiet, to prevent from vomiting",Please keep the noise down.
keep from,〜するのを控える,to refrain from,I couldn't keep from laughing.
keep off,立ち入らない、防ぐ,to stay off,Please keep off the grass.
keep on,〜し続ける,to continue,He kept on talking even though I wasn't listening.
keep out,中に入れない,to prevent from entering,Keep out! This area is restricted.
keep up,維持する、遅れずについていく,"to maintain, to continue at the same rate",Keep up the good work!
keep up with,ついていく,to stay at the same level,It's hard to keep up with the latest technology.
kick off,開始する,to start,The match kicks off at 3 PM.
knock down,打ち倒す、取り壊す,"to demolish, to hit and cause to fall",They are knocking down the old factory.
knock out,ノックアウトする、気絶させる,to make unconscious,The boxer was knocked out in the third round.
lay off,解雇する,to fire employees,The company laid off 200 workers last month.
lay out,広げる、設計する、投資する,"to arrange, to spend",He laid out the map on the table.
leave out,省く、仲間外れにする,to omit,You left out a very important detail.
let down,がっかりさせる,to disappoint,"I promised I would help, and I won't let you down."
let in,中に入れる,to allow to enter,Open the door and let him in.
let off,無罪放免にする、（花火などを）打ち上げる,"to not punish, to explode",The judge let him off with a warning.
let out,外に出す、（秘密を）漏らす,"to allow to leave, to reveal",Who let the dog out?
live up to,（期待に）応える,to meet expectations,The movie didn't live up to my expectations.
look after,世話をする,to take care of,Could you look after my cat this weekend?
look ahead,将来を見据える,to think about the future,We need to look ahead and plan for next year.
look around,見回す,to look in different directions,Let's look around the shop.
look at,見る、検討する,"to observe, to examine",Look at that beautiful sunset!
look back,振り返る、回想する,to think about the past,"Looking back, I realize I made a mistake."
look down on,見下す,to think you are better than someone,He looks down on people who have less money.
look for,探す,to search for,I'm looking for my lost keys.
look forward to,楽しみに待つ,to feel excited about something in the future,I'm looking forward to seeing you.
look into,調査する,to investigate,The police are looking into the murder case.
look out,気をつける,to be careful,Look out! There's a car coming.
look out for,〜の世話をする、気をつける,"to take care of, to watch for",Always look out for your little brother.
look over,ざっと目を通す,to examine quickly,Can you look over my essay before I submit it?
look through,目を通す,to read quickly,I looked through the magazine while waiting.
look up,（辞書などで）調べる、見上げる,"to search for information, to look upwards","If you don't know the word, look it up."
look up to,尊敬する,to respect,I've always looked up to my father.
make for,〜へ向かって進む、〜に役立つ,"to move towards, to result in",He made for the exit as soon as the bell rang.
make out,理解する、判読する,"to understand, to see clearly",I can't make out what this handwriting says.
make up,構成する、作り話をする、仲直りする、化粧する,"to compose, to invent, to reconcile, to put on makeup",Women make up 40% of the workforce.
make up for,埋め合わせをする,to compensate for,I'll buy you dinner to make up for being late.
mix up,混同する,to confuse,I always mix up the twins.
move in,引っ越してくる,to start living in a new place,Our new neighbors are moving in today.
move on,次に進む,to progress to the next stage,It's time to move on and forget the past.
move out,引っ越して出ていく,to leave one's home,She is moving out of her apartment next week.
name after,〜にちなんで名付ける,to give someone a name of another person,He was named after his grandfather.
narrow down,絞り込む,to reduce the number of possibilities,We've narrowed down the list of candidates to three.
note down,書き留める,to write something down quickly,Please note down this telephone number.
pass away,亡くなる,to die (polite),Her grandfather passed away last night.
pass out,気絶する、配る,"to faint, to distribute",It was so hot that she passed out.
pass up,（機会を）逃す,to decline an opportunity,I couldn't pass up such a great job offer.
pay back,借金を返す、報復する,to return money,I'll pay you back next week.
pay for,代金を払う、報いを受ける,"to give money for, to be punished for",You'll pay for your mistakes.
pay off,完済する、努力が報われる,"to pay a debt in full, to be successful",All her hard work finally paid off.
pick out,選び出す,to choose,She picked out a beautiful dress for the party.
pick up,拾う、車で拾う、習得する,"to lift, to collect someone, to learn",Can you pick me up at the station?
point out,指摘する,"to highlight, to draw attention to",Thank you for pointing out my error.
pull down,取り壊す,to demolish,They pulled down the old cinema.
pull off,（困難なことを）やってのける、車を寄せる,"to succeed, to steer a vehicle to the side","It was a risky plan, but they pulled it off."
pull over,車を道端に止める,to drive to the side of the road and stop,The police asked the driver to pull over.
pull through,（病気や危機を）切り抜ける,to recover from a serious illness,The doctor says she will pull through.
pull up,車を止める,to stop a vehicle,The taxi pulled up outside the hotel.
put aside,取っておく、蓄える,to save,I put aside a little money every month.
put away,片付ける、お金を貯める,"to store in a proper place, to save money",Put your toys away before dinner.
put back,戻す,to return to its original place,Put the book back on the shelf.
put down,下に置く、けなす、書き留める,"to place on a surface, to criticize, to write",Put down your weapons!
put forward,提案する,to suggest,He put forward a new proposal.
put off,延期する、嫌気を起こさせる,"to postpone, to discourage",Never put off until tomorrow what you can do today.
put on,着る、身につける、（体重が）増える,"to dress, to gain weight","Put on your coat, it's cold outside."
put out,（火を）消す、怒らせる,"to extinguish, to annoy",The firefighters put out the fire.
put through,電話をつなぐ,to connect by phone,Could you put me through to the manager?
put together,組み立てる、まとめる,to assemble,It took hours to put the furniture together.
put up,掲示する、泊める、建てる,"to display, to provide accommodation, to build",They put up a new fence.
put up with,我慢する,to tolerate,I can't put up with this noise any longer!
rule out,除外する,to eliminate as a possibility,The police have ruled out murder.
run across,偶然見つける,to find by chance,I ran across this article online.
run after,追いかける,to chase,The dog ran after the cat.
run away,逃げる,to escape,The thief ran away when he saw the police.
run down,（車が）ひく、悪口を言う、電池が切れる,"to hit with a car, to criticize, to lose power",My phone battery has run down.
run into,偶然出会う、衝突する,"to meet by chance, to crash",I ran into my former boss yesterday.
run out (of),使い果たす、切らす,to have none left,We've run out of milk.
run over,（車が）ひく、あふれる、超過する,"to drive over, to overflow, to exceed time",He was run over by a bus.
run through,ざっとおさらいする、浪費する,"to review quickly, to spend quickly",Let's run through the script one more time.
save up,貯金する,to save money,I'm saving up for a new car.
see off,見送る,to go to an airport/station to say goodbye,We went to the airport to see him off.
see through,見抜く,to realize the truth about someone/something,I saw through his lies immediately.
sell out,売り切れる,to be sold completely,The concert tickets sold out in minutes.
send for,呼び寄せる,to summon,We had to send for a doctor.
set about,取り掛かる,to start doing something,We need to set about cleaning the house.
set aside,取っておく、退ける,"to reserve, to ignore",Set aside some time for yourself.
set back,遅らせる,to delay,The bad weather set back the construction.
set off,出発する、引き起こす,"to start a journey, to trigger",We set off for the beach early in the morning.
set out,出発する、意図する,"to begin a journey, to intend",He set out to become a famous actor.
set up,設立する、準備する,"to establish, to arrange",They set up a new company.
settle down,落ち着く、定住する,"to become calm, to start living a quiet life",They got married and settled down in the suburbs.
show off,見せびらかす,to boast,He's just showing off his new car.
show up,現れる,to arrive,"I waited, but he didn't show up."
shut down,閉鎖する、電源を切る,"to close completely, to turn off",The factory was shut down last year.
sign up,登録する、申し込む,to register,I signed up for a yoga class.
sit back,くつろぐ、何もしない,"to relax, to take no action",Just sit back and enjoy the ride.
sit down,座る,to take a seat,Please sit down.
sleep in,朝寝坊する,to sleep longer than usual,I love to sleep in on weekends.
slow down,速度を落とす,to reduce speed,"Slow down, you're driving too fast!"
speak out,堂々と意見を言う,to state your opinion firmly,She spoke out against the unfair policy.
speak up,大きな声で話す,to speak louder,Could you speak up a little?
stand by,待機する、支持する,"to be ready, to support",I will stand by you no matter what happens.
stand for,〜を表す、象徴する,to represent,What does UFO stand for?
stand out,目立つ,to be noticeable,Her bright red hair made her stand out.
stand up,立ち上がる、待ちぼうけを食わせる,"to rise to one's feet, to fail to meet",He stood me up on our first date.
stand up for,守る、支持する,to defend,You must stand up for your rights.
stand up to,立ち向かう,to defend oneself against,He finally stood up to the bully.
stay up,徹夜する、起きている,to remain awake,I stayed up late watching a movie.
step down,辞任する,to resign,The CEO will step down next month.
stick to,〜に固執する、くっつく,"to adhere to, to continue with",You should stick to your original plan.
stick up for,擁護する,to support or defend,Thanks for sticking up for me.
sum up,要約する,to summarize,"To sum up, the project was a success."
take aback,驚かせる,to surprise,I was taken aback by his rude behavior.
take after,（親などに）似ている,to resemble,He takes after his father.
take apart,分解する,to dismantle,He took the computer apart to fix it.
take away,持ち帰る、取り上げる,"to remove, to buy food to eat elsewhere","Can I have two burgers to take away, please?"
take back,返品する、撤回する,"to return, to retract",I take back what I said; I was wrong.
take down,書き留める、取り壊す,"to write down, to remove",The reporter took down every word he said.
take in,理解する、だます、サイズを詰める,"to understand, to deceive, to make clothes smaller",It was a lot of information to take in at once.
take off,離陸する、脱ぐ、急激に成功する,"to leave the ground, to remove clothes, to become successful",The plane took off on time.
take on,引き受ける、雇う,"to accept responsibility, to employ",I can't take on any more extra work.
take out,取り出す、連れ出す,"to remove, to take someone on a date",He took her out for dinner.
take over,引き継ぐ、乗っ取る,to assume control,Who will take over the business when he retires?
take up,（趣味などを）始める、時間を取る,"to start a hobby, to occupy time/space",I've decided to take up tennis.
talk into,説得して〜させる,to persuade someone to do something,He talked me into buying a new car.
talk out of,説得して〜をやめさせる,to persuade someone not to do something,I tried to talk her out of quitting her job.
talk over,話し合う,to discuss,Let's talk it over tomorrow.
tear down,取り壊す,to destroy a building,They are tearing down the old hospital.
tear up,細かく引き裂く,to rip into pieces,She tore up his letter.
tell apart,見分ける,to distinguish between,I can't tell the twins apart.
tell off,叱る,to scold,The teacher told the students off for being noisy.
think over,熟考する,to consider carefully,I need time to think over your offer.
think up,考え出す,"to invent, to devise",We need to think up a good excuse.
throw away,捨てる,to discard,Don't throw away these papers.
throw out,捨てる、却下する,"to discard, to reject",The judge threw out the case.
throw up,吐く,to vomit,He drank too much and threw up.
touch on,（話題などに）軽く触れる,to mention briefly,The speaker touched on the issue of climate change.
try on,試着する,to put on clothes to see how they fit,Can I try this coat on?
try out,試してみる,to test,We are trying out a new software system.
turn around,好転させる、振り向く,"to improve a bad situation, to face the opposite direction",The new CEO turned the company around.
turn away,追い返す,to refuse entry,"The club was full, so they were turning people away."
turn back,引き返す,to return,The weather was so bad we had to turn back.
turn down,断る、音量を下げる,"to reject, to lower volume",They turned down my application.
turn into,〜に変わる,to transform into,The caterpillar turned into a butterfly.
turn off,消す、興味をなくさせる,"to switch off, to cause someone to lose interest",Please turn off the TV.
turn on,つける、興奮させる,"to switch on, to arouse","Turn on the lights, it's dark in here."
turn out,〜という結果になる、判明する,"to end up, to result",It turned out to be a great party.
turn over,ひっくり返す、譲る,"to flip, to transfer",Turn over the page and read the next chapter.
turn up,現れる、音量を上げる,"to appear unexpectedly, to increase volume",He finally turned up two hours late.
use up,使い果たす,to consume completely,We used up all the sugar.
wake up,目を覚ます,to stop sleeping,I wake up at 7 AM every day.
warm up,準備運動をする、温まる,"to prepare for exercise, to become warm",You should always warm up before running.
wash away,洗い流す,to carry away by water,The bridge was washed away by the flood.
wash up,食器を洗う,to wash dishes,Who is going to wash up tonight?
watch out,気をつける,to be careful,Watch out for bears in this forest.
wear off,（薬効などが）次第に消える,to fade away,The painkiller started to wear off.
wear out,すり減らす、疲れ果てさせる,"to damage through use, to exhaust",These shoes are worn out. / That hike wore me out.
wipe out,全滅させる,to destroy completely,The disease wiped out the entire village.
work out,運動する、解決する、うまくいく,"to exercise, to solve, to be successful",I work out at the gym twice a week.
work up,（感情や食欲を）かき立てる,"to develop (an appetite, courage)",I went for a walk to work up an appetite.
wrap up,包む、終わりにする,"to enclose, to finish",Let's wrap up this meeting.
write down,書き留める,to record in writing,Please write down your address here.
yield to,屈する、譲る,"to surrender, to give way",You must yield to oncoming traffic.
zoom in,拡大する,to focus more closely,Can you zoom in on the picture?
