句動詞,意味（日本語）,意味（簡単な英英訳）,例文
come from,〜の出身である、〜に由来する,to originate in,Where do you come from?
come in,入る、到着する,"to enter, to arrive",Please come in and take a seat.
come into,（財産を）相続する,to inherit,She came into a lot of money when her aunt died.
come off,（汚れが）落ちる、成功する,"to become detached, to succeed",The paint is coming off the wall.
come on,さあ（励まし）、（機械が）作動し始める,"to encourage, to start functioning","Come on, you can do it!"
come out,現れる、出版される、公表される,"to appear, to be published",When does his new book come out?
come over,やって来る,to visit,Why don't you come over for dinner tonight?
come through,切り抜ける、要求に応える,to survive a difficult situation,"He was very sick, but he came through in the end."
come up,生じる、近づく,"to happen unexpectedly, to approach",Something urgent has come up.
come up with,思いつく,to think of an idea,She came up with a great plan.
conjure up,魔法のように出す、思い起こさせる,"to make something appear by magic, to bring to mind",That smell conjures up memories of my childhood.
count on,頼る、当てにする,to rely on,You can always count on me.
cover up,隠す、もみ消す,to conceal something bad,The government tried to cover up the scandal.
crack down on,厳しく取り締まる,to enforce laws more strictly,Police are cracking down on speeding.
crack up,大笑いする,to start laughing loudly,His jokes always make me crack up.
crop up,予期せず現れる,to appear unexpectedly,Some urgent problems cropped up today.
cross out,線を引いて消す,to draw a line through,Cross out the wrong words in the sentence.
cut back (on),削減する,to reduce,We need to cut back on our expenses.
cut down,切り倒す、減らす,"to fell, to reduce",They cut down the old tree in the park.
cut in,割り込む,to interrupt,Don't cut in while I'm talking.
cut off,切り離す、電話を切る,"to disconnect, sever",Our electricity was cut off because we didn't pay the bill.
cut out,切り取る、やめる,"to remove, to stop doing",I've decided to cut out sugar from my diet.
dabble in,趣味程度にかじる,to be involved in an activity casually,He dabbles in painting.
dawn on,〜にわかり始める,to become clear to someone,It suddenly dawned on me that I had forgotten my keys.
deal with,対処する、扱う,to handle a problem,We have a lot of issues to deal with today.
delve into,徹底的に調査する,to investigate deeply,We need to delve into the history of this issue.
dial in,電話会議などに参加する,to join a conference call,I'll dial in to the meeting at 10 AM.
die down,（騒ぎなどが）静まる,to become less intense,Wait until the storm dies down before going out.
die out,絶滅する,to become extinct,Dinosaurs died out millions of years ago.
dig in,食べ始める、頑張り通す,"to start eating, to maintain a position","Dinner is ready, dig in!"
dish out,分け与える,to distribute liberally,He likes to dish out advice.
do away with,廃止する、処分する,"to abolish, to eliminate",The company decided to do away with the dress code.
do over,やり直す,to do again,This is completely wrong. You'll have to do it over.
do up,ボタンを留める、改装する,"to fasten, to renovate",Can you help me do up the zip on my dress?
do without,〜なしで済ませる,to manage without,"I don't have sugar, so we'll have to do without."
doze off,うとうとする,to fall asleep unintentionally,I dozed off during the lecture.
drag on,長引く,to continue for too long,The meeting dragged on for three hours.
draw back,後退する、尻込みする,"to move away, to retreat",She drew back in fear.
draw up,（計画や書類を）作成する,to prepare a document,The lawyer will draw up the contract.
dream up,考え出す,to invent something unusual,Who dreamed up this crazy plan?
dress down,カジュアルな服装をする,to wear informal clothes,We are allowed to dress down on Fridays.
dress up,ドレスアップする、仮装する,"to wear formal clothes, to put on a costume",We need to dress up for the wedding.
drift apart,疎遠になる,to gradually become less friendly,"We used to be best friends, but we drifted apart."
drop by / in,ふらりと立ち寄る,to visit informally,Drop by anytime you're in the neighborhood.
drop off,降ろす、うとうとする,"to deliver, to fall asleep",Can you drop me off at the station?
drop out,中退する、脱落する,to quit a school or course,He dropped out of college after one year.
drum up,（支持などを）獲得する,to try to get support or business,He is trying to drum up support for his campaign.
dumb down,（レベルを）下げる、分かりやすくする,to simplify to make it easier to understand,The article was dumbed down for a younger audience.
ease off,和らぐ、緩む,to become less intense,The rain is starting to ease off.
eat into,食い込む、消費する,to consume a part of something (time/money),These extra fees are eating into my savings.
eat out,外食する,to eat at a restaurant,Let's eat out tonight instead of cooking.
eat up,残さず食べる,to eat completely,Eat up all your vegetables!
edge out,徐々に追い出す、辛勝する,"to gradually push someone out of a position, to narrowly win",She edged out her rival in the final race.
embark on,着手する,to start a new project or journey,She is about to embark on a new career.
end up,最終的に〜になる,to finally be in a particular state,We got lost and ended up in a different city.
face up to,（困難に）立ち向かう、認める,to accept and deal with a difficult fact,You need to face up to your responsibilities.
factor in,計算に入れる,to include a particular amount when calculating,You need to factor in the cost of travel.
fall apart,バラバラになる、崩壊する,"to break into pieces, to fail",Their marriage is falling apart.
fall behind,遅れをとる,to fail to keep up,"If you miss classes, you will fall behind."
fall down,倒れる、落ちる,to drop to the ground,The old building fell down during the earthquake.
fall for,だまされる、惚れる,"to be deceived by, to fall in love",I can't believe you fell for that trick!
fall in with,同意する、仲間入りする,"to agree with, to associate with",I fall in with your plan.
fall off,減少する、落ちる,"to decrease, to detach",Sales have fallen off recently.
fall out,喧嘩する、抜け落ちる,"to argue, to become loose and drop",He fell out with his best friend.
fall through,失敗に終わる、実現しない,to fail to happen,Our plans for the holiday fell through.
fathom out,理解する,to understand something difficult,I can't fathom out what he means.
fawn over,へつらう、機嫌をとる,to flatter someone excessively,Everyone was fawning over the celebrity.
feel like,〜したい気がする,to have a desire to do something,I feel like eating pizza tonight.
fend for oneself,自力で生きていく,to take care of oneself without help,"At 18, he had to fend for himself."
fend off,（攻撃などを）かわす,to defend oneself against an attack,She managed to fend off her attackers.
ferret out,探し出す,to search for and discover something hidden,The reporter ferreted out the truth.
figure out,理解する、解決する,"to understand, solve",I can't figure out how to use this machine.
fill in,空欄を埋める、代理をする,"to complete a form, to substitute",Please fill in your name and address.
fill out,（書類に）必要事項を記入する,to complete a form completely,You need to fill out this application.
fill up,満タンにする,to make full,Fill up the gas tank before we leave.
filter out,ろ過する、取り除く,to remove unwanted elements,This software filters out spam emails.
find out,見つけ出す、事実を知る,to discover information,I just found out that I got the job!
fish out,探し出す、取り出す,to pull something out of a bag or pocket,He fished out a coin from his pocket.
fit in,適合する、馴染む,"to belong, to be accepted",He didn't really fit in at his new school.
fix up,修理する、手配する,"to repair, to arrange",We bought an old house and fixed it up.
fizzle out,立ち消えになる,to end weakly,The party fizzled out around midnight.
flake out,疲れ果てて寝る、ドタキャンする,"to fall asleep from exhaustion, to cancel plans",I flaked out on the couch after work.
flare up,（病気や怒りが）急激に起こる,to suddenly erupt or worsen,His asthma flared up again.
flesh out,具体化する、肉付けする,to add more details,We need to flesh out this plan before presenting it.
flick through,パラパラめくる,to look quickly through a book or magazine,I flicked through the catalog.
focus on,集中する,to concentrate on,You need to focus on your studies.
freak out,パニックになる,to become extremely upset or anxious,"Don't freak out, but I lost the tickets."
frown upon,眉をひそめる、良しとしない,to disapprove of,Smoking in the park is frowned upon.
gear up,準備する,to prepare for an activity,The team is gearing up for the finals.
geek out,オタク話に花を咲かせる,to talk enthusiastically about a niche subject,We geeked out over the new sci-fi movie.
get about / around,あちこち移動する、広まる,"to travel, to circulate",News gets around quickly in this small town.
get across,（考えなどを）理解させる,to communicate successfully,"I tried to get my point across, but they didn't listen."
get ahead,出世する、成功する,"to succeed, to advance","If you want to get ahead in your career, you must work hard."
get along,仲良くやる、なんとかやっていく,to have a good relationship,I get along well with my neighbors.
get at,ほのめかす、達する,"to imply, to reach",What are you getting at?
get away,逃げる、離れる,"to escape, to go on a vacation",The thieves got away in a stolen car.
get back,戻る、取り戻す,"to return, to receive again",What time did you get back last night?
get back at,仕返しをする,to take revenge,She wanted to get back at him for lying.
get by,なんとかやりくりする,to manage to survive,"I don't have much money, but I can get by."
get down,降りる、落ち込ませる,"to descend, to depress",This rainy weather is getting me down.
get down to,本気で取り掛かる,to start focusing on,Let's get down to business.
get in,（車などに）乗る、到着する,"to enter a car, to arrive","Get in the car, we're late!"
get off,（バスなどから）降りる、仕事を終える,"to leave a vehicle, to finish work",I usually get off work at 6 PM.
get on,（バスなどに）乗る、うまくやる,"to enter a bus/train, to make progress",We got on the train just in time.
get out,外へ出る、逃げる,"to leave, to escape",Get out of my room!
get out of,（責任などを）逃れる,to avoid doing something,He always tries to get out of doing the dishes.
get over,回復する、乗り越える,"to recover, overcome",It took her a long time to get over the flu.
get round to,（時間ができて）ようやく〜に取り掛かる,to finally do something,I finally got round to cleaning the garage.
get through,切り抜ける、連絡がつく,"to survive, to contact by phone","I called you, but I couldn't get through."
get together,集まる,to meet,Let's get together for a drink this weekend.
get up,起き上がる,to rise from bed,What time do you usually get up?
give away,タダであげる、秘密を漏らす,"to donate, to reveal a secret",He gave away all his old books.
give back,返す,to return something,Give me back my pen!
give in,降参する、提出する,"to surrender, yield",The government refused to give in to their demands.
give off,（匂いや熱を）発する,to emit,The cheese is giving off a terrible smell.
give out,配る、尽きる,"to distribute, to become exhausted",The teacher gave out the test papers.
give up,諦める、やめる,to quit,Don't give up on your dreams.
gloss over,ごまかす、軽く扱う,to treat something quickly to hide the truth,He glossed over his past mistakes.
go about,取り掛かる、いつも通りにする,"to deal with, to begin",How should I go about solving this problem?
go after,追いかける、追求する,to pursue,The police went after the bank robbers.
go against,逆らう、不利になる,"to oppose, to be unfavorable",It goes against my principles.
go ahead,先に進む、どうぞ（許可）,to proceed,Go ahead and start without me.
go along with,賛成する、同行する,"to agree with, to accompany",I go along with your idea.
go around,（病気などが）広まる、十分にある,"to circulate, to be sufficient",There is a nasty flu going around.
go away,立ち去る,to leave,Please go away and leave me alone.
go back,戻る,to return,I want to go back to Japan next year.
go back on,（約束などを）破る,to break a promise,He went back on his word.
go by,（時間が）経過する、通り過ぎる,to pass,"As time goes by, you will forget him."
go down,下がる、沈む,"to decrease, to sink",The sun went down behind the mountains.
go for,選ぶ、好む、襲いかかる,"to choose, to like, to attack",I think I'll go for the chocolate cake.
go in for,（趣味などを）好む、参加する,"to enter a competition, to have as a hobby",I don't go in for sports much.
go into,詳しく述べる、〜に入る,"to discuss in detail, to enter",I don't want to go into details right now.
go off,爆発する、（アラームが）鳴る、腐る,"to explode, to ring, to go bad",My alarm clock went off at 6 AM.
go on,続く、起こる,"to continue, to happen",The meeting went on for hours.
go out,外出する、火が消える,"to leave the house, to stop burning",We are going out for dinner tonight.
go over,見直す、調べる,"to review, to examine",Let's go over the plan one more time.
go through,経験する、調べる,"to experience, to examine",She went through a lot of pain.
go under,倒産する、沈む,"to go bankrupt, to sink",Many small businesses went under during the pandemic.
go up,上がる、建つ,"to increase, to be built",The price of gas has gone up again.
go with,似合う、調和する,to match,That shirt goes perfectly with those pants.
go without,〜なしで済ます,to manage without,We will have to go without internet for a few days.
goof off,サボる、ふざける,to waste time playing around,Stop goofing off and do your work.
grapple with,（問題などと）格闘する,to try hard to solve a difficult problem,We are grappling with a complex issue.
grow apart,（関係が）疎遠になる,to stop being close to someone,"Over the years, the two friends grew apart."
grow back,再び生える,to grow again,"If you cut your hair, it will grow back."
grow into,成長して服が合うようになる,to grow large enough to fit,"The coat is big now, but he will grow into it."
grow out of,成長して服が着られなくなる、卒業する,to outgrow,He has grown out of all his shoes.
grow up,大人になる,to become an adult,What do you want to be when you grow up?
hammer out,打ち合わせをして決める,to negotiate and reach an agreement,They hammered out a peace treaty.
hand down,後世に伝える、言い渡す,to pass on to the next generation,This ring was handed down from my grandmother.
hand in,提出する,to submit,Hand in your homework by Friday.
hand out,配る,to distribute,Could you hand out these flyers?
hand over,引き渡す、譲り渡す,to give control or possession,The thief was forced to hand over the money.
hang around / about,ぶらぶらする,to spend time aimlessly,They were just hanging around the mall.
hang back,ためらう、後にとどまる,to hesitate,She hung back while the others rushed forward.
hang on,ちょっと待つ、しがみつく,"to wait, to hold tight","Hang on a second, I'll be right back."
hang out,遊ぶ、つるむ,to spend time relaxing,We usually hang out at the park on weekends.
hang up,電話を切る,to end a phone call,He was so angry he just hung up on me.
harp on,しつこく言う,to talk repeatedly about something,She's always harping on about her diet.
have on,着ている,to be wearing,She had a beautiful red dress on.
head for,〜に向かう,to move in the direction of,We are heading for the mountains this weekend.
head off,阻止する、〜へ向かう,"to prevent something, to leave",I need to head off to work now.
hear from,〜から連絡をもらう,to receive a letter/call from,I haven't heard from him in months.
hear of,〜の噂を聞く,to know about the existence of,I've never heard of that band.
hit it off,意気投合する,to quickly become good friends,They hit it off immediately on their first date.
hit on,ふと思いつく、口説く,"to have a sudden idea, to flirt with",He hit on a brilliant solution to the problem.
hold back,抑える、ためらう,"to restrain, to hide",She couldn't hold back her tears.
hold down,（職を）維持する、抑えつける,"to keep a job, to restrain",It's hard for him to hold down a steady job.
hold off,遅らせる、延期する,to delay,Let's hold off making a decision until tomorrow.
hold on,待つ、持ちこたえる,"to wait, to grip tightly","Hold on, I'm transferring your call."
hold out,持ちこたえる、差し出す,"to last, to survive",I don't know how much longer our food supplies will hold out.
hold up,遅らせる、強盗に入る,"to delay, to rob",Traffic held us up for an hour.
hole up,隠れる、閉じこもる,to hide in a safe place,We holed up in a cabin during the storm.
home in on,（目標に）真っ直ぐ向かう、的を絞る,to move directly towards a target,The missile homed in on its target.
hook up,接続する、会う,"to connect a machine, to meet",Can you hook up the printer to my laptop?
iron out,（問題などを）解決する,to solve problems or clear up difficulties,We need to iron out a few problems before signing the contract.
jack up,（価格を）大幅に引き上げる,to increase prices sharply,They jacked up the rent this year.
jump at,飛びつく,to eagerly accept an opportunity,I would jump at the chance to travel to Paris.
keep at,〜を根気よく続ける,to continue doing something difficult,"Keep at it, you'll eventually succeed!"
keep away,近づけない、遠ざける,to stay away,Keep away from the edge of the cliff.
keep back,隠す、近づけない,"to withhold, to maintain a safe distance",The police kept the crowd back.
keep down,（音や声を）抑える,"to keep quiet, to prevent from vomiting",Please keep the noise down.
keep from,〜するのを控える,to refrain from,I couldn't keep from laughing.
keep off,立ち入らない、防ぐ,to stay off,Please keep off the grass.
keep on,〜し続ける,to continue,He kept on talking even though I wasn't listening.
keep out,中に入れない,to prevent from entering,Keep out! This area is restricted.
keep up,維持する、遅れずについていく,"to maintain, to continue at the same rate",Keep up the good work!
keep up with,ついていく,to stay at the same level,It's hard to keep up with the latest technology.
kick back,リラックスする,to relax,Kick back and enjoy the weekend.
kick in,効果が現れ始める,to start taking effect,The painkiller took an hour to kick in.
kick off,開始する,to start,The match kicks off at 3 PM.
kid around,ふざける、冗談を言う,to joke,I was just kidding around!
kiss up to,ごまをする,to flatter someone for personal gain,He is always kissing up to the manager.
knock down,打ち倒す、取り壊す,"to demolish, to hit and cause to fall",They are knocking down the old factory.
knock out,ノックアウトする、気絶させる,to make unconscious,The boxer was knocked out in the third round.
knuckle down,真剣に取り組む,to start working hard,It's time to knuckle down and study for the finals.
lap up,熱心に受け入れる、舐めるように飲む,"to accept eagerly, to drink with the tongue",The audience lapped up his compliments.
lash out,突然怒り出す、激しく非難する,to suddenly attack physically or verbally,He lashed out at the reporter.
latch onto,しがみつく、くっついて離れない,"to hold firmly to, to attach oneself to",He latched onto me at the party and wouldn't leave.
lay off,解雇する,to fire employees,The company laid off 200 workers last month.
lay out,広げる、設計する、投資する,"to arrange, to spend",He laid out the map on the table.
laze around,ゴロゴロして過ごす,to relax and do very little,We spent Sunday lazing around the house.
leave out,省く、仲間外れにする,to omit,You left out a very important detail.
let down,がっかりさせる,to disappoint,"I promised I would help, and I won't let you down."
let in,中に入れる,to allow to enter,Open the door and let him in.
let off,無罪放免にする、（花火などを）打ち上げる,"to not punish, to explode",The judge let him off with a warning.
let out,外に出す、（秘密を）漏らす,"to allow to leave, to reveal",Who let the dog out?
lighten up,深刻に考えるのをやめる,to become less serious,You need to lighten up and have some fun.
live down,（過去の失敗などを）人に忘れさせる,to make people forget a mistake,I will never live down that embarrassing moment.
live off,（収入源などに）頼って生きる,to use someone or something for financial support,He still lives off his parents.
live up to,（期待に）応える,to meet expectations,The movie didn't live up to my expectations.
lock in,固定する、閉じ込める,"to secure a price or agreement, to confine",We locked in a low interest rate.
log off/out,ログアウトする,to exit a computer system,Don't forget to log off when you're done.
look after,世話をする,to take care of,Could you look after my cat this weekend?
look ahead,将来を見据える,to think about the future,We need to look ahead and plan for next year.
look around,見回す,to look in different directions,Let's look around the shop.
look at,見る、検討する,"to observe, to examine",Look at that beautiful sunset!
look back,振り返る、回想する,to think about the past,"Looking back, I realize I made a mistake."
look down on,見下す,to think you are better than someone,He looks down on people who have less money.
look for,探す,to search for,I'm looking for my lost keys.
look forward to,楽しみに待つ,to feel excited about something in the future,I'm looking forward to seeing you.
look into,調査する,to investigate,The police are looking into the murder case.
look out,気をつける,to be careful,Look out! There's a car coming.
look out for,〜の世話をする、気をつける,"to take care of, to watch for",Always look out for your little brother.
look over,ざっと目を通す,to examine quickly,Can you look over my essay before I submit it?
look through,目を通す,to read quickly,I looked through the magazine while waiting.
look up,（辞書などで）調べる、見上げる,"to search for information, to look upwards","If you don't know the word, look it up."
look up to,尊敬する,to respect,I've always looked up to my father.
lounge around,のんびり過ごす,to spend time relaxing,I lounged around the pool all day.
make for,〜へ向かって進む、〜に役立つ,"to move towards, to result in",He made for the exit as soon as the bell rang.
make off with,持ち逃げする,to steal and escape,"The thieves made off with $10,000."
make out,理解する、判読する,"to understand, to see clearly",I can't make out what this handwriting says.
make up,構成する、作り話をする、仲直りする、化粧する,"to compose, to invent, to reconcile, to put on makeup",Women make up 40% of the workforce.
make up for,埋め合わせをする,to compensate for,I'll buy you dinner to make up for being late.
mark down,値下げする,to reduce the price,These shoes have been marked down by 50%.
mark up,値上げする,to increase the price,Retailers usually mark up products by 20%.
melt down,メルトダウンする、パニックになる,"to fail completely, to lose control of emotions",The toddler melted down in the supermarket.
mess around,ふざける、時間を無駄にする,to behave in a silly way,Stop messing around and do your homework.
mess up,失敗する、汚す,"to make a mistake, to ruin",I completely messed up my presentation.
mix up,混同する,to confuse,I always mix up the twins.
move in,引っ越してくる,to start living in a new place,Our new neighbors are moving in today.
move on,次に進む,to progress to the next stage,It's time to move on and forget the past.
move out,引っ越して出ていく,to leave one's home,She is moving out of her apartment next week.
mull over,熟考する,to think deeply about,I need a few days to mull over your proposal.
nail down,確定させる,to make something certain,We finally nailed down the date for the meeting.
name after,〜にちなんで名付ける,to give someone a name of another person,He was named after his grandfather.
narrow down,絞り込む,to reduce the number of possibilities,We've narrowed down the list of candidates to three.
nod off,居眠りする,to fall asleep briefly,I nodded off during the movie.
note down,書き留める,to write something down quickly,Please note down this telephone number.
opt out,辞退する,to choose not to participate,You can opt out of the newsletter at any time.
pan out,うまくいく,to develop successfully,I hope this new job pans out.
paper over,（問題などを）取り繕う,to hide a problem instead of solving it,They tried to paper over their differences.
pass away,亡くなる,to die (polite),Her grandfather passed away last night.
pass off,偽る、ごまかす,to falsely represent,He tried to pass off the fake watch as a Rolex.
pass out,気絶する、配る,"to faint, to distribute",It was so hot that she passed out.
pass up,（機会を）逃す,to decline an opportunity,I couldn't pass up such a great job offer.
patch up,関係を修復する、応急処置をする,"to fix a relationship, to repair roughly",They patched up their marriage.
pay back,借金を返す、報復する,to return money,I'll pay you back next week.
pay for,代金を払う、報いを受ける,"to give money for, to be punished for",You'll pay for your mistakes.
pay off,完済する、努力が報われる,"to pay a debt in full, to be successful",All her hard work finally paid off.
perk up,元気になる,to become more cheerful or energetic,She perked up when she heard the good news.
peter out,次第に消滅する,to gradually stop or disappear,The storm finally petered out.
phase in,段階的に導入する,to introduce gradually,The new regulations will be phased in next year.
phase out,段階的に廃止する,to remove gradually,They are phasing out the old models.
pick on,いじめる、からかう,to bully or criticize unfairly,Why are you always picking on me?
pick out,選び出す,to choose,She picked out a beautiful dress for the party.
pick up,拾う、車で拾う、習得する,"to lift, to collect someone, to learn",Can you pick me up at the station?
piece together,つなぎ合わせる,to create something by joining parts,The police are piecing together the evidence.
pile up,積み重なる,to accumulate,The laundry is starting to pile up.
pin down,突き止める、押さえつける,"to force someone to be specific, to hold down",It's hard to pin him down to a date.
pipe down,静かにする,"to stop talking, to be quiet",Will you kids please pipe down?
play along,調子を合わせる,to pretend to agree or cooperate,Just play along with my story.
play down,軽視する、控えめに言う,to make something seem less important,The company played down the severity of the data breach.
plough through,かき分けて進む、苦労して読み終える,"to push through, to finish something difficult",I had to plough through 100 emails this morning.
